"Omschrijving","Vakcode","Startweek (ISO)","Startdag","Startdatum","Starttijd","Einddag","Einddatum","Eindtijd","Duur","Type","Docent(en)","Locatie(s)","Faculteit","Grootte","Opmerking 1","Opmerking 2","Concept","Deze activiteit vindt op locatie plaats","Deze activiteit vindt online plaats"
"Object-Oriented and Functional Programming (PR)","XB_0019","38","do","2022-09-22","11:00","do","2022-09-22","12:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","38","do","2022-09-22","13:30","do","2022-09-22","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","39","ma","2022-09-26","11:00","ma","2022-09-26","12:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-Q105(208/52T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","39","ma","2022-09-26","13:30","ma","2022-09-26","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","MF-FG1(343/85T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","39","di","2022-09-27","09:00","di","2022-09-27","10:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (DDX)","X_400614","39","wo","2022-09-28","18:45","wo","2022-09-28","21:00","2:15","Deeltentamen digitaal","Massacci, F., Tuma, K.","(T) TenT blok 1 Blauw (102), (T) TenT blok 2 Rood (85), (T) TenT blok 3 Groen (96), (T) TenT blok 4 Lime (54), (T) TenT blok 5 Wit (45), (T) TenT blok 6 Oranje (48), (T) TenT blok 7 Geel (44), (T) TenT blok 8 Zwart (107)","Faculteit der Betawetenschappen","400","","","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","39","do","2022-09-29","09:00","do","2022-09-29","10:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-KC159(168/42T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (PR)","XB_0019","39","do","2022-09-29","11:00","do","2022-09-29","12:45","1:45","Practicum","Ploeg, A.J. van der","MF-BK37 (28Comp), MF-BK43 (76Comp), MF-BK50 (34Comp/30DT)","Faculteit der Betawetenschappen","370","","","Nee","Ja","Nee"
"Data Structures and Algorithms (HC)","X_400614","39","do","2022-09-29","13:30","do","2022-09-29","15:15","1:45","Hoorcollege","Massacci, F., Tuma, K.","HG-KC07(330/82T)","Faculteit der Betawetenschappen","500","","Hybrid","Nee","Ja","Nee"
"Object-Oriented and Functional Programming (HC)","XB_0019","40","ma","2022-10-03","11:00","ma","2022-10-03","12:45","1:45","Hoorcollege","Ploeg, A.J. van der","WN-Q105(208/52T)","Faculteit der Betawetenschappen","370","","Hybrid","Nee","Ja","Nee"
